Número,Perfume,Categoría
1,AIRE LOEWE,Mujer
3,CAROLINA HERRERA CLASICA,Mujer
4,CHANEL 5,Mujer
6,ANAIS – ANAIS de CACHAREL,Mujer
8,TRESOR. LANCOME,Mujer
11,COCO CHANEL,Mujer
13,OPIUM. Y.S.L.,Mujer
14,NOA. CACHAREL,Mujer
18,212 CAROLINA HERRERA,Mujer
20,ALLURE. CHANEL,Mujer
21,SOIR DE LUNE. SISLEY,Mujer
22,ETERNITY. CALVIN KLEIN,Mujer
24,LIGHT BLUE. D&G,Mujer
25,J`ADORE. C. DIOR,Mujer
26,ULTRAVIOLET. PACO RABANNE,Mujer
28,JEAN PAUL GAULTIER CLASIQUE,Mujer
30,ANGEL. T. MUGLER,Mujer
31,MIRACLE. LANCOME,Mujer
32,OMNIA CORAL. BVLGARI,Mujer
33,EAU DE ROCHAS,Mujer
34,L`EAU D`ISSEY. MIYAKE,Mujer
37,CHLOE,Mujer
38,BONBON. VICTOR & ROLF,Mujer
39,L`INTERDIT. GIVENCHY,Mujer
40,PLEASURES INTENSE. E. LAUDER,Mujer
41,Ó DE LANCOME,Mujer
43,AROMATIC ELIXIR. CLINIQUE,Mujer
44,KENZO AMOUR,Mujer
45,212 VIP ROSÉ. C.H,Mujer
46,AGUA FRESCA DE ROSAS BLANCAS. A.D.,Mujer
47,CANDY. PRADA,Mujer
48,CH. CAROLINA HERRERA,Mujer
49,AGUA DE ROCÍO. VICT & LUCH,Mujer
50,DOLCE. D&G.,Mujer
51,AURA. LOEWE,Mujer
52,JUST CAVALLI,Mujer
82,ALIEN T. MUGLER,Mujer
83,COOL WATER DAVIDOFF,Mujer
85,BURBERRY WOMEN,Mujer
87,GUCCI RUSH,Mujer
89,PARIS. Y.S.L.,Mujer
100,EMPORIO ARMANI,Mujer
101,AMOR-AMOR. CACHAREL,Mujer
102,POEME. LANCOME,Mujer
103,LOLITA LEMPICKA,Mujer
104,OMNIA CRYSTALLINE. BVLGARI,Mujer
105,COCO MADEMOISELLE. CHANEL,Mujer
106,RALPH. RALPH LAUREN,Mujer
107,TOBACCO VANILLE. TOM FORD UNISEX,Mujer
108,POISON. C. DIOR,Mujer
109,LA BELLE PARADISE GARDEN J.P.G,Mujer
110,PURE MUSC. NARCISO RODRÍGUEZ,Mujer
111,DIOR ADDICT. C. DIOR,Mujer
112,ALIEN GODDESS. T. MUGLER,Mujer
113,TOUCH OF PINK. LACOSTE,Mujer
114,GUCCI GUILTY,Mujer
116,EDEN de CACHAREL,Mujer
117,YUM PISTACHIO GELATO 33 KAYALI UNISEX,Mujer
120,THIS IS HERI ZADIG & VOLTIRE,Mujer
122,OLYMPEA de PACO RABANNE,Mujer
123,NARCISO RODRIGUEZ FOR HER,Mujer
124,PURE POISON. C.DIOR,Mujer
125,BECAUSE IT`S YOU. E. ARMANI,Mujer
126,BRIGHT CRYSTAL de VERSACE,Mujer
128,212 HÉROES CAROLINA HERRERA,Mujer
129,EUPHORIA. CALVIN KLEIN,Mujer
130,BULGARI,Mujer
133,NINA de NINA RICCI,Mujer
134,THE ONE. D&G,Mujer
135,CRYSTAL NOIR. VERSACE,Mujer
137,AGUA FRESCA DE ROSAS A. DOMINGUEZ,Mujer
138,BE DELICIOUS. D. KARAJAN,Mujer
139,HAPPY CLINIQUE,Mujer
142,ARMANI CODE. G. ARMANI,Mujer
143,MY WAY. E. ARMANI,Mujer
146,LIBRE. Y.S.L.,Mujer
149,LADY MILLION. PACO RABANNE,Mujer
150,TOUS TOUCH,Mujer
151,LA NUIT TRESOR. LANCOME,Mujer
152,BLACK OPIUM. Y.S.L.,Mujer
153,EAU SENSUELLE. ROCHAS,Mujer
154,MAGNETISM. ESCADA,Mujer
155,INFUSION D`IRIS. PRADA,Mujer
156,CHANCE. CHANEL,Mujer
157,INSOLENCE de GÜERLAIN,Mujer
158,DYLAN TURQUOISE. VERSACE,Mujer
159,DOLCE BLUE JASMINE D&G,Mujer
161,CHEAP & CHIP. MOSCHINO,Mujer
162,AURA. T. MUGLER,Mujer
163,THE ONLY ONE. D&G,Mujer
164,MISS DIOR CHERIE,Mujer
165,LA VIE ET BELLE. LANCOME,Mujer
169,ESCALE A PORTOFINO. C. DIOR,Mujer
